"","t","","",""
"1",0.201773839634988,1.01151110810772,0.117807826240168,0.0963121897886201
"2",-0.1544045243906,1.02975115890246,-0.142932170482271,-0.19989458197305
"3",-0.125937894840316,1.01844617672731,-0.136702682856773,-0.136179996292517
"4",-0.342015541417399,1.10656196594391,-0.33834675786738,-0.331663769372377
"5",0.0810155133498711,1.01078158230506,0.0831281330783748,0.121528270859213
"6",0.261715509802207,1.06968696509298,0.118379642487161,0.36085518360477
"7",0.181468126773459,1.027650385924,0.136166068317472,0.19371142849276
"8",0.142235875645222,1.00716814997907,0.119880992864357,0.00402863278624649
"9",0.235346958248033,1.01533187546851,0.144706747422269,0.0997936600835034
"10",0.0468649888873868,1.00963511070203,-0.109548245505965,0.0858034886753393
"11",0.427296795152608,1.09594613715669,0.311051627855609,0.323024488788444
"12",-0.0980300834585143,1.00515228920727,-0.0651132267356979,-0.0780473715296257
"13",-0.205825810392717,1.00958709355704,0.00283075422438001,-0.138773507224824
"14",0.263201924932822,1.04635202743844,0.267459691897299,0.152701927082572
"15",0.136884933345232,1.01857883405633,0.115117673044473,0.155726563374327
"16",-0.0142873295216525,1.00131578558321,-0.0467264588473769,-0.0212118010011097
"17",0.178639312519293,1.00693907008695,0.0355114346925186,0.112539899029861
"18",0.14866056149945,1.01137692161088,0.0656637330357364,0.136277480644871
"19",0.514718212405119,1.1636605028186,0.399471332816078,0.441053760984049
"20",0.0962591625062155,1.01606215806842,0.141382318051663,0.111325420282099
"21",-0.288345733745776,1.06870945058513,-0.283728434238865,-0.248270145958664
"22",0.213212676413531,1.04718805485573,0.28090179123877,0.133030094006459
"23",-0.515559653429108,1.11830064656986,-0.425129534179337,-0.264312722522067
"24",0.0177976565125985,1.0039580144915,-0.0753944705868173,0.0474064200994307
"25",0.154531032897186,1.001920073497,0.00904175556488543,0.0613357997628498
"26",-0.140878661597247,1.01085797608331,0.00732584641960878,-0.147581095623645
"27",-0.149309767762926,1.00398078260525,-0.0841360128507147,-0.0299757098703875
"28",-0.64130977299071,1.21511867784786,-0.459873509045124,-0.514810408726596
"29",-0.177182687934988,1.04720500657001,-0.218539677549504,-0.221085357095045
"30",-0.323063258238365,1.05124940720846,-0.205502862405698,-0.250786542101449
"31",0.163054274769973,1.0536669249377,0.217033759962018,0.251217705873664
"32",0.113828272938101,1.02017186443536,0.167696828966505,0.112376183153245
"33",0.159873037298171,1.01115769365287,0.0833511717443605,0.124468725398122
"34",0.0763623972408145,1.00150306067275,-0.0397654290877207,0.0377768604619187
"35",0.293838992510289,1.02899142797021,0.187284068953745,0.154103979028109
"36",-0.325301093198616,1.07567894920093,-0.167527511857632,-0.359193171601032
"37",0.00492290858721869,1.00834273895967,-0.0482491291277067,-0.120112866717588
"38",0.210108369050975,1.00542347959634,0.100848470382248,0.0265698954678861
"39",0.163807783415246,1.01002038290563,0.0297216285606362,0.138772470903025
"40",0.12809467865283,1.00329960795216,0.0678060438737099,0.0448602689599222
"41",0.214484398094637,1.03279479403459,0.234233084909679,0.108627567949569
"42",-0.222020694752743,1.03111891033091,-0.140902449030278,-0.208213129027146
"43",0.104020689520537,1.00657486686296,-0.0226303918807556,0.112609182412086
"44",-0.206948065170895,1.01718938300477,-0.093387613124076,-0.161099331508924
"45",0.165888093514838,1.01183005790468,0.110902622453515,0.107241197365226
"46",-0.120975509595769,1.01535121895203,-0.0146665529545693,-0.17527974797966
"47",0.0232960915400697,1.00301437703282,0.0766772877746023,-0.012587059786046
"48",0.0927101739050062,1.01272768072109,0.156992734008108,0.0311550440116535
"49",-0.112526582367764,1.00116218767702,-0.041586694491458,-0.0244186993003204
"50",0.431780945367452,1.13410880253101,0.375433907839007,0.381119609601833
"51",-0.275260254519414,1.05193738574474,-0.260226047826986,-0.197115873434464
"52",-0.00549327680434159,1.00171070491681,0.00787872225473276,-0.057985016000302
"53",-0.319235471050032,1.06296924961556,-0.184371027611731,-0.309694930222727
